damageLevel,hurt,collapse,deltaP,ammoQuantity,outerSideLength,outerSideWidth,outerHeight,roofThick,wallThick,soilThick,liningPlateThick
2,0.2745,0.133,1.28E-06,16,8,7,6.5,1.5,0.5,2,0.35
3,0.38173333,0.2113,1.82E-05,3,6.5,7,3.5,1.5,1.5,2,0.3
4,1,0.2459,0.32473456,23,8,7,3,1.5,1,2,0.45
2,0.25695,0.1213,2.02E-06,8,6.5,7,5.5,1.5,0.5,2,0.3
2,0.26325,0.1255,6.78E-06,3,4.5,7,6,1.5,1,2,0.25
4,0.95436135,0.1376,0.15436135,4,8.5,7,5.5,1.5,1,2,0.1
4,1,0.2687,0.29070152,9,6,7,6,1.5,1.5,2,0.1
4,0.98182467,0.0667,0.18182467,8,10.5,7,4,1.5,1,2,0.3
2,0.192,0.078,3.28E-06,8,9.5,7,4,1.5,1,2,0.4
2,0.24795,0.1153,1.65E-05,6,8,7,3,1.5,1.5,2,0.25
1,2.25E-06,0,4.50E-06,1,5,7,6.5,1.5,1,2,0.4
1,3.44E-05,0,6.88E-05,7,8.5,7,2,1.5,1.5,2,0.4
3,0.3736,0.2052,7.88E-06,10,4.5,7,4,1.5,0.5,2,0.35
2,0.18675,0.0745,2.39E-06,1,7.5,7,4.5,1.5,0.5,2,0.15
4,1,0.2059,0.24715435,17,7.5,7,4,1.5,1,2,0.4
3,0.3596,0.1947,9.68E-06,11,4.5,7,5,1.5,1,2,0.45
3,0.3368,0.1776,7.18E-06,6,7,7,3,1.5,0.5,2,0.3
1,1.14E-05,0,2.27E-05,1,9,7,2.5,1.5,1.5,2,0.2
2,0.2313,0.1042,2.99E-06,4,10,7,4,1.5,1,2,0.2
4,1,0.3212,0.42336897,25,5.5,7,4.5,1.5,1.5,2,0.25
4,1,0.4379,0.65377424,24,10,7,2,1.5,1.5,2,0.2
4,1,0.5011,0.36426543,21,4.5,7,4.5,1.5,1,2,0.3
4,1,0.2159,0.50570777,15,5,7,3,1.5,1,2,0.35
2,0.25035,0.1169,6.00E-06,4,5.5,7,5,1.5,1,2,0.25
3,0.47173333,0.2788,9.14E-05,2,7.5,7,2,1.5,1.5,2,0.1
4,0.99594516,0.0766,0.19594516,10,7,7,7.5,1.5,1.5,2,0.45
3,0.3116,0.1587,1.03E-05,6,6.5,7,4.5,1.5,1.5,2,0.3
1,6.38E-06,0,1.28E-05,3,7.5,7,3.5,1.5,1.5,2,0.3
2,0.2814,0.1376,6.99E-06,2,8.5,7,4,1.5,1.5,2,0.15
2,0.2565,0.121,4.77E-06,1,5,7,4.5,1.5,0.5,2,0.15
2,0.2064,0.0876,1.03E-05,5,10,7,3,1.5,1.5,2,0.35
2,0.17685,0.0679,2.61E-06,3,6,7,7,1.5,1,2,0.3
4,1,0.5804,0.45244943,21,7.5,7,3,1.5,1.5,2,0.3
4,1,0.3178,0.28366688,16,7,7,5,1.5,1.5,2,0.1
4,1,0.6377,0.83192368,23,5,7,2.5,1.5,1.5,2,0.1
4,1,0.2222,0.26256299,15,7.5,7,5,1.5,1.5,2,0.45
1,9.12E-06,0,1.82E-05,4,5,7,5,1.5,1.5,2,0.45
1,0.102,0.034,1.43E-06,6,10,7,7.5,1.5,1.5,2,0.35
2,0.18915,0.0761,4.97E-06,1,9,7,3.5,1.5,1,2,0.1
4,1,0.4416,0.63829292,9,8,7,2,1.5,1,2,0.1
4,1,0.2406,0.75061148,17,8,7,2,1.5,1.5,2,0.3
2,0.17685,0.0679,2.61E-06,4,6,7,7,1.5,1,2,0.3
2,0.1539,0.0526,2.61E-06,6,8,7,7,1.5,1.5,2,0.35
